Species,Longitude,Latitude,Cal..Mean,Min.,Max.
Bradypus variegatus,gruta do elefante,-10.3833,2.5 ,0,5
Bradypus variegatus,-65.3833,-10.3833,2.5 ,0,5
Bradypus variegatus,-65.1333,-16.8,2.5 ,0,5
Bradypus variegatus,-63.6667,-17.45,2.5 ,0,5
Bradypus variegatus,-63.85,-17.4,2.5 ,0,5
Bradypus variegatus,-64.4167,-16,2.5 ,0,5
Bradypus variegatus,-63.1667,-17.8,2.5 ,0,5
Bradypus variegatus,-56.7333,-2.6,2.5 ,0,5
Bradypus variegatus,-59.1333,-3.7,3.0 ,2,4
Bradypus variegatus,-60.0833,-3.1333,3.0 ,2,4
Bradypus variegatus,-64.8333,-0.5167,3.0 ,2,4
Bradypus variegatus,-60.0167,-3.1333,3.0 ,2,4
Bradypus variegatus,-62.0833,-3.8333,3.0 ,2,4
Bradypus variegatus,-40.0667,-19.3333,3.0 ,2,4
Bradypus variegatus,-52.6667,-3.8333,3.0 ,2,4
Bradypus variegatus,-49.5,-1,3.0 ,2,4
Bradypus variegatus,-55.55,-1.9167,2.5 ,2,3
Bradypus variegatus,-52.2,-1.7,2.5 ,2,3
Bradypus variegatus,-54.9833,-2.75,2.5 ,2,3
Bradypus variegatus,-55.5,-3.6667,2.5 ,2,3
Bradypus variegatus,-55.1333,-2.8333,2.5 ,2,3
Bradypus variegatus,-55,-2.4333,2.5 ,2,3
Bradypus variegatus,-54.7,-2.4333,2.5 ,2,3
Bradypus variegatus,-55.1,-3.0833,2.5 ,2,3
Bradypus variegatus,-55.2833,-3.45,4.5 ,4,5
Bradypus variegatus,-49.6833,-2.6833,4.5 ,4,5
Bradypus variegatus,-49.5,-2.25,4.5 ,4,5
Bradypus variegatus,-49.5,-2.5833,4.5 ,4,5
Bradypus variegatus,-46.7333,-23.45,4.5 ,4,5
Bradypus variegatus,-69.95,-4.15,4.5 ,4,5
Bradypus variegatus,-76.2667,7.0167,4.5 ,4,5
Bradypus variegatus,-75.5833,6.25,4.5 ,4,5
Bradypus variegatus,-76.7167,8.1,4.5 ,4,5
Bradypus variegatus,-75.05,7.35,1.5 ,0,3
Bradypus variegatus,-75.0667,9.9667,1.5 ,0,3
Bradypus variegatus,-74,10.3,1.5 ,0,3
Bradypus variegatus,-73.4333,10.15,1.5 ,0,3
Bradypus variegatus,-76.6833,5.1,1.5 ,0,3
Bradypus variegatus,-77.7667,7.1167,1.5 ,0,3
Bradypus variegatus,-76.6667,5.7,1.5 ,0,3
Bradypus variegatus,-76.95,5.05,1.5 ,0,3
Bradypus variegatus,-77.1667,7.6667,1.5 ,0,3
Bradypus variegatus,-77.1167,8.0167,2.5 ,2,3
Bradypus variegatus,-75.6833,8.2833,2.5 ,2,3
Bradypus variegatus,-74.7333,9.1167,2.5 ,2,3
Bradypus variegatus,-76.2833,7.85,2.5 ,2,3
Bradypus variegatus,-74.3,4.5833,2.5 ,2,3
Bradypus variegatus,-67.9333,3.8667,2.5 ,2,3
Bradypus variegatus,-71.3167,12.35,2.5 ,2,3
Bradypus variegatus,-73.6167,4.15,2.5 ,2,3
Bradypus variegatus,-78.15,1.6833,2.5 ,2,3
Bradypus variegatus,-72.5833,8.5,2.5 ,2,3
Bradypus variegatus,-72.5167,7.9,2.5 ,2,3
Bradypus variegatus,-74.7667,-0.2,2.5 ,2,3
Bradypus variegatus,-75.3333,0.4667,2.5 ,2,3
Bradypus variegatus,-73.9167,7.1667,2.5 ,2,3
Bradypus variegatus,-75.4,9.3,2.5 ,2,3
Bradypus variegatus,-75.35,9.5,2.5 ,2,3
Bradypus variegatus,-76.9333,4,2.5 ,2,3
Bradypus variegatus,-77.0833,3.6833,2.5 ,2,3
Bradypus variegatus,-84.5,10.3333,2.5 ,2,3
Bradypus variegatus,-83.6333,9.8833,2.5 ,2,3
Bradypus variegatus,-84.0167,10.6333,2.5 ,2,3
Bradypus variegatus,-83.5667,9.9167,2.5 ,2,3
Bradypus variegatus,-83.4667,8.95,2.5 ,2,3
Bradypus variegatus,-79.65,-3.7167,2.5 ,2,3
Bradypus variegatus,-79.4667,0.3333,2.5 ,2,3
Bradypus variegatus,-79.75,-1.5333,2.5 ,2,3
Bradypus variegatus,-79.6,-0.4667,2.5 ,2,3
Bradypus variegatus,-77.1333,-0.7,2.5 ,2,3
Bradypus variegatus,-77.95,-1.4833,2.5 ,2,3
Bradypus variegatus,-79.15,-0.25,2.5 ,2,3
Bradypus variegatus,-85.9333,13.1833,2.5 ,2,3
Bradypus variegatus,-83.7,10.9333,1.5 ,0,3
Bradypus variegatus,-84.5333,13.95,1.5 ,0,3
Bradypus variegatus,-84.4333,12.15,1.5 ,0,3
Bradypus variegatus,-83.7667,12.15,3.5 ,2,5
Bradypus variegatus,-82.4,9.3,3.5 ,2,5
Bradypus variegatus,-82.5167,9.45,3.5 ,2,5
Bradypus variegatus,-81.8,8.9333,3.5 ,2,5
Bradypus variegatus,-82.7833,9.6,3.5 ,2,5
Bradypus variegatus,-82.25,9.1833,3.5 ,2,5
Bradypus variegatus,-79.8167,9.1667,3.5 ,2,5
Bradypus variegatus,-79.9333,9.25,3.5 ,2,5
Bradypus variegatus,-79.9833,9.25,3.5 ,2,5
Bradypus variegatus,-79.9,9.2167,3.5 ,2,5
Bradypus variegatus,-79.6,9.2833,3.5 ,2,5
Bradypus variegatus,-77.3,8.1667,3.5 ,2,5
Bradypus variegatus,-77.6,8,3.5 ,2,5
Bradypus variegatus,-77.75,8.1,3.5 ,2,5
Bradypus variegatus,-77.7333,8.1333,3.5 ,2,5
Bradypus variegatus,-78.3667,7.9667,3.5 ,2,5
Bradypus variegatus,-77.4333,7.9833,3.5 ,2,5
Bradypus variegatus,-79.5833,8.95,3.5 ,2,5
Bradypus variegatus,-79.85,9.15,3.5 ,2,5
Bradypus variegatus,-79.35,9.2333,3.5 ,2,5
Bradypus variegatus,-79.8,8.8667,3.5 ,2,5
Bradypus variegatus,-79.6,8.9,3.5 ,2,5
Bradypus variegatus,-77.1167,-4.65,3.5 ,2,5
Bradypus variegatus,-74.0833,-2.3667,1.5 ,1,2
Bradypus variegatus,-73.25,-3.7667,1.5 ,1,2
Bradypus variegatus,-74.2167,-4.8333,1.5 ,1,2
Bradypus variegatus,-72.1,-3.3167,1.5 ,1,2
Bradypus variegatus,-72.1333,-3.4333,1.5 ,1,2
Bradypus variegatus,-73.05,-3.4667,1.5 ,1,2
Bradypus variegatus,-74.2167,-4.7,1.5 ,1,2
Bradypus variegatus,-75.1,-6.7333,1.5 ,1,2
Bradypus variegatus,-76.05,-5.8333,1.5 ,1,2
Bradypus variegatus,-74.5333,-8.3833,1.5 ,1,2
Bradypus variegatus,-65.55,3.1667,1.5 ,1,2
Bradypus variegatus,-65.9167,3.0833,1.5 ,1,2
Bradypus variegatus,-66.2167,5.3,1.5 ,1,2
Bradypus variegatus,-67.6833,10.3667,1.5 ,1,2
Bradypus variegatus,-68.3833,10.5333,1.5 ,1,2
Bradypus variegatus,-66.8333,10.3667,1.5 ,1,2
Bradypus variegatus,-72.6,9.15,1.5 ,1,2
